College of Computing & Informatics,art,7,https:\/\/pages.charlotte.edu\/connections\/links\/art\/
College of Computing & Informatics,art,7,https:\/\/pages.charlotte.edu\/connections\/links\/art\/
College of Computing & Informatics,art,7,https:\/\/pages.charlotte.edu\/connections\/links\/art\/
College of Computing & Informatics,theatre,6,https:\/\/pages.charlotte.edu\/connections\/links\/theatre\/
College of Computing & Informatics,music,6,https:\/\/pages.charlotte.edu\/connections\/links\/music\/
College of Computing & Informatics,Architecture,5,https:\/\/pages.charlotte.edu\/connections\/links\/architecture\/
College of Computing & Informatics,performing arts,5,https:\/\/pages.charlotte.edu\/connections\/links\/performing-arts\/
College of Computing & Informatics,arts and community,4,https:\/\/pages.charlotte.edu\/connections\/links\/arts-and-community\/
College of Computing & Informatics,dance,4,https:\/\/pages.charlotte.edu\/connections\/links\/dance\/
College of Computing & Informatics,production,4,https:\/\/pages.charlotte.edu\/connections\/links\/production\/
College of Computing & Informatics,voice,4,https:\/\/pages.charlotte.edu\/connections\/links\/voice\/
College of Computing & Informatics,dance history,3,https:\/\/pages.charlotte.edu\/connections\/links\/dance-history\/
College of Computing & Informatics,culture,3,https:\/\/pages.charlotte.edu\/connections\/links\/culture\/
College of Computing & Informatics,contemporary opera,3,https:\/\/pages.charlotte.edu\/connections\/links\/contemporary-opera\/
College of Computing & Informatics,gender,3,https:\/\/pages.charlotte.edu\/connections\/links\/gender\/
College of Computing & Informatics,musical theatre,3,https:\/\/pages.charlotte.edu\/connections\/links\/musical-theatre\/
College of Computing & Informatics,opera,3,https:\/\/pages.charlotte.edu\/connections\/links\/opera\/
College of Computing & Informatics,environment,3,https:\/\/pages.charlotte.edu\/connections\/links\/environment\/
College of Computing & Informatics,dramaturgy,2,https:\/\/pages.charlotte.edu\/connections\/links\/dramaturgy\/
College of Computing & Informatics,singing,2,https:\/\/pages.charlotte.edu\/connections\/links\/singing\/
College of Computing & Informatics,scenic design,2,https:\/\/pages.charlotte.edu\/connections\/links\/scenic-design\/
College of Computing & Informatics,graphic design,2,https:\/\/pages.charlotte.edu\/connections\/links\/graphic-design\/
College of Computing & Informatics,playwriting,2,https:\/\/pages.charlotte.edu\/connections\/links\/playwriting\/
College of Computing & Informatics,illustration,2,https:\/\/pages.charlotte.edu\/connections\/links\/illustration\/
College of Computing & Informatics,jazz,2,https:\/\/pages.charlotte.edu\/connections\/links\/jazz\/
College of Computing & Informatics,choreography,2,https:\/\/pages.charlotte.edu\/connections\/links\/choreography\/
College of Computing & Informatics,design,2,https:\/\/pages.charlotte.edu\/connections\/links\/design\/
College of Computing & Informatics,body and embodiment,2,https:\/\/pages.charlotte.edu\/connections\/links\/body-and-embodiment\/
College of Computing & Informatics,environmental design,2,https:\/\/pages.charlotte.edu\/connections\/links\/environmental-design\/
College of Computing & Informatics,improvisation,2,https:\/\/pages.charlotte.edu\/connections\/links\/improvisation\/
College of Computing & Informatics,drawing,2,https:\/\/pages.charlotte.edu\/connections\/links\/drawing\/
College of Computing & Informatics,3d,2,https:\/\/pages.charlotte.edu\/connections\/links\/3d\/
College of Computing & Informatics,painting,2,https:\/\/pages.charlotte.edu\/connections\/links\/painting\/
College of Computing & Informatics,art pedagogy,2,https:\/\/pages.charlotte.edu\/connections\/links\/art-pedagogy\/
College of Computing & Informatics,art history,2,https:\/\/pages.charlotte.edu\/connections\/links\/art-history\/
College of Computing & Informatics,immigration,1,https:\/\/pages.charlotte.edu\/connections\/links\/immigration\/
College of Computing & Informatics,Asian-American music,1,https:\/\/pages.charlotte.edu\/connections\/links\/asian-american-music\/
College of Computing & Informatics,vernacular dance,1,https:\/\/pages.charlotte.edu\/connections\/links\/vernacular-dance\/
College of Computing & Informatics,1930s,1,https:\/\/pages.charlotte.edu\/connections\/links\/1930s\/
College of Computing & Informatics,big band,1,https:\/\/pages.charlotte.edu\/connections\/links\/big-band\/
College of Computing & Informatics,feminist theory,1,https:\/\/pages.charlotte.edu\/connections\/links\/feminist-theory\/
